x,y,z,time,label
-1,-1,-1,0,start_single_loop_kernel_0
0,0,0,0,single_loop_kernel_start_0
1,0,0,0,single_loop_kernel_start_0
2,0,0,0,single_loop_kernel_start_0
3,0,0,0,single_loop_kernel_start_0
8,0,0,0,single_loop_kernel_start_0
9,0,0,0,single_loop_kernel_start_0
10,0,0,0,single_loop_kernel_start_0
11,0,0,0,single_loop_kernel_start_0
4,0,0,0,single_loop_kernel_start_0
5,0,0,0,single_loop_kernel_start_0
6,0,0,0,single_loop_kernel_start_0
7,0,0,0,single_loop_kernel_start_0
12,0,0,0,single_loop_kernel_start_0
13,0,0,0,single_loop_kernel_start_0
14,0,0,0,single_loop_kernel_start_0
15,0,0,0,single_loop_kernel_start_0
16,0,0,0,single_loop_kernel_start_0
17,0,0,0,single_loop_kernel_start_0
18,0,0,0,single_loop_kernel_start_0
19,0,0,0,single_loop_kernel_start_0
24,0,0,0,single_loop_kernel_start_0
25,0,0,0,single_loop_kernel_start_0
26,0,0,0,single_loop_kernel_start_0
27,0,0,0,single_loop_kernel_start_0
20,0,0,0,single_loop_kernel_start_0
21,0,0,0,single_loop_kernel_start_0
22,0,0,0,single_loop_kernel_start_0
23,0,0,0,single_loop_kernel_start_0
28,0,0,0,single_loop_kernel_start_0
29,0,0,0,single_loop_kernel_start_0
30,0,0,0,single_loop_kernel_start_0
31,0,0,0,single_loop_kernel_start_0
30,0,0,1318,single_loop_kernel_switch_0
31,0,0,2679,single_loop_kernel_switch_0
28,0,0,3912,single_loop_kernel_switch_0
29,0,0,5187,single_loop_kernel_switch_0
26,0,0,6335,single_loop_kernel_switch_0
27,0,0,7526,single_loop_kernel_switch_0
24,0,0,8589,single_loop_kernel_switch_0
25,0,0,9694,single_loop_kernel_switch_0
22,0,0,10672,single_loop_kernel_switch_0
23,0,0,11692,single_loop_kernel_switch_0
20,0,0,12585,single_loop_kernel_switch_0
21,0,0,13521,single_loop_kernel_switch_0
18,0,0,14328,single_loop_kernel_switch_0
19,0,0,15179,single_loop_kernel_switch_0
16,0,0,15901,single_loop_kernel_switch_0
17,0,0,16667,single_loop_kernel_switch_0
14,0,0,17305,single_loop_kernel_switch_0
15,0,0,17985,single_loop_kernel_switch_0
12,0,0,18538,single_loop_kernel_switch_0
13,0,0,19133,single_loop_kernel_switch_0
10,0,0,19600,single_loop_kernel_switch_0
11,0,0,20111,single_loop_kernel_switch_0
8,0,0,20493,single_loop_kernel_switch_0
9,0,0,20918,single_loop_kernel_switch_0
6,0,0,21216,single_loop_kernel_switch_0
7,0,0,21556,single_loop_kernel_switch_0
4,0,0,21769,single_loop_kernel_switch_0
5,0,0,22024,single_loop_kernel_switch_0
2,0,0,22151,single_loop_kernel_switch_0
3,0,0,22322,single_loop_kernel_switch_0
0,0,0,22364,single_loop_kernel_switch_0
1,0,0,22449,single_loop_kernel_switch_0
-1,-1,-1,22449,end_single_loop_kernel_0
